ER_1000_0.25_0.al,959,1.364144,951,14.980389,974,2.256558
ER_1000_0.25_10.al,957,1.371832,956,11.165944,973,2.295692
ER_1000_0.25_11.al,958,1.347936,956,12.040388,974,2.244996
ER_1000_0.25_12.al,956,1.404768,953,10.842232,976,2.302988
ER_1000_0.25_13.al,960,1.348524,956,10.953064,974,2.306000
ER_1000_0.25_14.al,957,1.345904,956,10.808032,978,2.270744
ER_1000_0.25_15.al,958,1.391488,954,11.654936,974,2.303608
ER_1000_0.25_16.al,956,1.380728,957,11.911240,976,2.258992
ER_1000_0.25_17.al,954,1.390008,957,11.445400,975,2.358976
ER_1000_0.25_18.al,956,1.383408,955,12.120160,972,2.299072
ER_1000_0.25_19.al,960,1.359376,953,11.908576,972,2.298592
ER_1000_0.25_1.al,957,1.380752,955,11.504352,974,2.307888
ER_1000_0.25_20.al,957,1.369728,957,11.349168,974,2.303488
ER_1000_0.25_21.al,956,1.381360,956,11.081696,975,2.316784
ER_1000_0.25_22.al,958,1.362656,954,11.810720,974,2.271152
ER_1000_0.25_23.al,957,1.372944,953,11.105824,972,2.295824
ER_1000_0.25_24.al,956,1.391296,956,11.745824,975,2.280544
ER_1000_0.25_25.al,958,1.363392,956,11.263008,974,2.310112
ER_1000_0.25_26.al,959,1.365920,954,11.122144,975,2.290656
ER_1000_0.25_27.al,959,1.380416,956,11.737760,977,2.287488
ER_1000_0.25_28.al,960,1.351776,955,11.668192,974,2.303616
ER_1000_0.25_29.al,959,1.353984,954,10.789216,975,2.267200
ER_1000_0.25_2.al,957,1.355648,956,11.075168,975,2.267424
ER_1000_0.25_30.al,959,1.363264,952,12.569376,973,2.276256
ER_1000_0.25_31.al,960,1.359200,953,14.127904,976,2.311456
ER_1000_0.25_32.al,958,1.372544,952,12.374272,976,2.275680
ER_1000_0.25_33.al,956,1.384640,957,12.483072,977,2.248608
ER_1000_0.25_34.al,959,1.374592,958,12.487264,979,2.247008
